股票代碼,公司名稱,公司簡稱,統編,自訂產業別,要看報告書,標記V為官方報告書；標記O為自出報告書；文字為集團報告書
2330,台灣積體電路製造股份有限公司,台灣積體電路製造,22099131,半導體業,V,
2337,旺宏電子股份有限公司,旺宏電子,22099548,半導體業,V,
2340,台亞半導體股份有限公司,台亞半導體,47255947,半導體業,V,
2342,台灣茂矽電子股份有限公司,台灣茂矽電子,22099110,半導體業,V,
2344,華邦電子股份有限公司,華邦電子,22099218,半導體業,V,
2355,敬鵬工業股份有限公司,敬鵬工業,43816068,電子業,V,
2367,燿華電子股份有限公司,燿華電子,	05637971,電子業,V,
2368,金像電子股份有限公司,金像電子,30955404,電子業,V,
2369,菱生精密工業股份有限公司,菱生精密工業,55625676,半導體業,V,
2382,廣達電腦股份有限公司,廣達電腦,22822281,電子業,V,
2408,南亞科技股份有限公司,南亞科技,89390656,半導體業,V,
2409,友達光電股份有限公司,友達光電,84149738,光電業,V,
2441,超豐電子股份有限公司,超豐電子,	05126366,半導體業,V,
2449,京元電子股份有限公司,京元電子,22507241,半導體業,V,
2474,可成科技股份有限公司,可成科技,69905810,非鋼鐵金屬業,V,
2492,華新科技股份有限公司,華新科技,19004316,半導體業,V,
2634,漢翔航空工業股份有限公司,漢翔航空工業,97160544,其他,V,
3008,大立光電股份有限公司,大立光電,22480876,光電業,V,
3037,欣興電子股份有限公司,欣興電子,23535435,電子業,V,
3049,精金科技股份有限公司,精金科技,70750217,光電業,V,
3105,穩懋半導體股份有限公司,穩懋半導體,70752257,半導體業,V,
3189,景碩科技股份有限公司,景碩科技,70785139,電子業,V,
3264,欣銓科技股份有限公司,欣銓科技,70751779,半導體業,V,
3265,台星科股份有限公司,台星科,70552666,半導體業,V,
3374,精材科技股份有限公司,精材科技,16741846,半導體業,V,
,金元福包裝企業股份有限公司,金元福包裝企業,34227006,石化業,O,
3481,群創光電股份有限公司,群創光電,12800225,光電業,V,
3532,台塑勝高科技股份有限公司,台塑勝高科技,89406518,半導體業,V,
3576,聯合再生能源股份有限公司,聯合再生能源,27763753,光電業,V,
3583,辛耘企業股份有限公司,辛耘企業,30901647,半導體業,V,
3645,達邁科技股份有限公司,達邁科技,70776899,石化業,V,
,國聯矽業化學股份有限公司,國聯矽業化學,36550632,石化業,O,
3707,漢磊科技股份有限公司,漢磊科技,54389725,半導體業,V,
3711,日月光半導體製造股份有限公司,日月光半導體製造,76027628,半導體業,日月光,
,李長榮化學工業股份有限公司,李長榮化學工業,39054405,石化業,O,
4207,環泰企業股份有限公司,環泰企業,12529007,食品業,V,
4401,東隆興業股份有限公司,東隆興業,18770509,紡織業,V,
4746,台耀化學股份有限公司,台耀化學,96922622,石化業,V,
4919,新唐科技股份有限公司,新唐科技,28112646,半導體業,V,
4960,誠美材料科技股份有限公司,誠美材料科技,27790294,光電業,V,
4989,李長榮科技股份有限公司,李長榮科技,97173920,非鋼鐵金屬業,V,
5009,榮剛材料科技股份有限公司,榮剛材料科技,84252697,鋼鐵業,V,
,美商達爾國際有限公司,美商達爾國際,51158518,半導體業,O,
5340,建榮工業材料股份有限公司,建榮工業材料,86691377,紡織業,V,
5347,世界先進積體電路股份有限公司,世界先進積體電路,84149358,半導體業,V,
5425,台灣半導體股份有限公司,台灣半導體,34286449,半導體業,V,
,矽品精密工業股份有限公司,矽品精密工業,55991080,半導體業,O,
