stock_code,name,name_abbr,tax_code,industry_code,company_type,industry
2832,台灣產物保險股份有限公司,台產,03557115,17,上市,金融保險
5858,臺灣銀行股份有限公司,臺銀,03557311,17,公開發行,金融保險
1727,臺灣中華化學工業股份有限公司,中華化,03558206,21,上市,化學工業
1438,三地開發地產股份有限公司,三地開發,03561011,14,上市,建材營造
9902,台火開發股份有限公司,台火,03562308,20,上市,其他
1614,台灣三洋電機股份有限公司,三洋電,03564501,6,上市,電器電纜
2617,台灣航業股份有限公司,台航,03564713,15,上市,航運業
2373,震旦行股份有限公司,震旦行,03568400,31,上市,其他電子業
1604,聲寶股份有限公司,聲寶,03607500,6,上市,電器電纜
5857,臺灣土地銀行,土地銀行,03700301,17,公開發行,金融保險
5843,兆豐國際商業銀行股份有限公司,兆豐銀行,03705903,17,公開發行,金融保險
1328,台灣中油股份有限公司,中油,03707901,3,公開發行,塑膠工業
5838,華南商業銀行股份有限公司,華南銀行,03742301,17,公開發行,金融保險
5836,台北富邦商業銀行股份有限公司,台北富邦,03750168,17,公開發行,金融保險
8394,台灣菸酒股份有限公司,臺灣菸酒,03787101,20,公開發行,其他
2834,臺灣中小企業銀行股份有限公司,臺企銀,03793407,17,上市,金融保險
1237,台灣糖業股份有限公司,台糖公司,03794905,2,公開發行,食品工業
1722,台灣肥料股份有限公司,台肥,03795101,21,上市,化學工業
9963,台灣電力股份有限公司,台電,03795904,20,公開發行,其他
2609,陽明海運股份有限公司,陽明,04200199,15,上市,航運業
1312,國喬石油化學股份有限公司,國喬,04212250,3,上市,塑膠工業
6274,台燿科技股份有限公司,台燿,04226091,28,上櫃,電子零組件業
6271,同欣電子工業股份有限公司,同欣電,04226986,24,上市,半導體業
5835,國泰世華商業銀行股份有限公司,國泰世華,04231910,17,公開發行,金融保險
6509,聚和國際股份有限公司,聚和,04243562,21,上櫃,化學工業
5548,安倉營造股份有限公司,安倉,04267141,14,興櫃,建材營造
2707,晶華國際酒店股份有限公司,晶華,04268726,16,上市,觀光事業
1443,立益物流開發股份有限公司,立益物流,04287483,20,上市,其他
1454,台灣富綢纖維股份有限公司,台富,04301794,4,上市,紡織纖維
1709,和益化學工業股份有限公司,和益,04312878,21,上市,化學工業
2356,英業達股份有限公司,英業達,04322046,25,上市,電腦及週邊設備業
6203,海韻電子工業股份有限公司,海韻電,04329168,28,上櫃,電子零組件業
6747,亨泰光學股份有限公司,亨泰光,04342697,22,上櫃,生技醫療業
2228,劍麟股份有限公司,劍麟,04359789,12,上市,汽車工業
2312,金寶電子工業股份有限公司,金寶,04370927,31,上市,其他電子業
2911,麗嬰房股份有限公司,麗嬰房,04377371,18,上市,貿易百貨
2104,國際中橡投資控股股份有限公司,國際中橡,04382114,11,上市,橡膠工業
6165,浪凡網路科技股份有限公司,浪凡,04386575,36,上市,數位雲端
6727,亞泰金屬工業股份有限公司,亞泰金屬,04393941,28,上櫃,電子零組件業
2313,華通電腦股份有限公司,華通,04401392,28,上市,電子零組件業
9905,大華金屬工業股份有限公司,大華,04403363,20,上市,其他
2476,鉅祥企業股份有限公司,鉅祥,04403568,28,上市,電子零組件業
2607,長榮國際儲運股份有限公司,榮運,04406559,15,上市,航運業
4506,崇友實業(股)公司,崇友,04416894,5,上櫃,電機機械
8222,寶一科技股份有限公司,寶一,04431804,5,上市,電機機械
4720,德淵企業股份有限公司,德淵,04465521,21,上市,化學工業
6731,啟坤科技股份有限公司,啟坤,04465819,37,興櫃,運動休閒
6177,達麗建設事業股份有限公司,達麗,04477420,14,上市,建材營造
6982,大井泵浦工業股份有限公司,大井泵浦,04481037,5,興櫃,電機機械
2317,鴻海精密工業股份有限公司,鴻海,04541302,31,上市,其他電子業
3066,李洲科技股份有限公司,李洲,04541794,26,上櫃,光電業
1442,名軒開發股份有限公司,名軒,04615057,14,上市,建材營造
5534,長虹建設股份有限公司,長虹,04633597,14,上市,建材營造
3033,威健實業股份有限公司,威健,04648938,29,上市,電子通路業
2731,雄獅旅行社股份有限公司,雄獅,04655091,16,上市,觀光事業
3093,台灣港建股份有限公司,港建*,04655310,31,上櫃,其他電子業
5398,慕康生技醫藥股份有限公司,慕康生醫,04669623,20,上櫃,其他
